nama_variabel,jenis_makanan,tahun,nama_wilayah,value
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Lampung Utara,0.021
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Way Kanan,0.011
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Tulangbawang,0.019
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pesawaran,0.028
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pringsewu,0.030
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Mesuji,0.008
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Tulang Bawang Barat,0.021
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pesisir Barat,0.029
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Bandar Lampung,0.124
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Metro,0.058
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bangka,0.092
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Belitung,0.171
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bangka Barat,0.025
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bangka Tengah,0.059
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bangka Selatan,0.011
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Belitung Timur,0.055
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Pangkal Pinang,0.218
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Karimun,0.100
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bintan,0.125
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Natuna,0.114
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Lingga,0.151
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kepulauan Anambas,0.119
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Batam,0.131
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Tanjung Pinang,0.181
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kep. Seribu,0.439
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Jakarta Selatan,0.469
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Jakarta Timur,0.464
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Jakarta Pusat,0.746
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Jakarta Barat,0.634
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Jakarta Utara,0.462
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bogor,0.441
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Sukabumi,0.370
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Cianjur,0.323
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bandung,0.395
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Garut,0.216
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Tasikmalaya,0.252
